year,importer1,importer2,flow1,flow2
1875,All Other Trade,All Other Trade,0,
1875,All Other Trade,All Other Trade,0.34,
1875,All Other Trade,All Other Trade,2.2,
1875,All Other Trade,All Other Trade,1.43,
1875,All Other Trade,All Other Trade,1.31,
1875,All Other Trade,All Other Trade,0.64,
1875,All Other Trade,All Other Trade,0.67,
1875,All Other Trade,All Other Trade,0.87,
1875,All Other Trade,All Other Trade,0.05,
1875,All Other Trade,All Other Trade,0.34,
1875,All Other Trade,All Other Trade,1.29,
1875,All Other Trade,All Other Trade,0.28,
1875,All Other Trade,All Other Trade,0.32,
1875,All Other Trade,All Other Trade,0.8,
1875,All Other Trade,All Other Trade,0.004288,
1875,All Other Trade,All Other Trade,0.29,
1875,All Other Trade,All Other Trade,0.79,
1875,All Other Trade,All Other Trade,0.09,
1875,All Other Trade,All Other Trade,0.44,
1875,All Other Trade,All Other Trade,0.52,
1875,All Other Trade,All Other Trade,0.03,
1875,All Other Trade,All Other Trade,0.1,
1875,All Other Trade,All Other Trade,0.09,
1875,All Other Trade,All Other Trade,0.4,
1875,All Other Trade,All Other Trade,0,
1875,All Other Trade,All Other Trade,0.21,
1875,All Other Trade,All Other Trade,0.28,
1875,All Other Trade,All Other Trade,0.13,
1875,All Other Trade,All Other Trade,0.2,
1875,All Other Trade,All Other Trade,0.05,
1880,United States of America,United Kingdom,150.25,
1880,United Kingdom,France,283.97,
1880,United States of America,France,64.11,
1880,United Kingdom,Germany,118.36,
1880,Belgium,France,89.35,
1880,United Kingdom,Netherlands,125.91,
1880,Germany,Austria-Hungary,95.69,
1880,France,Germany,84.57,
1880,Germany,Russia,80.07,
1880,United Kingdom,Russia,77.9,
1880,France,Italy,76.87,
1880,Netherlands,Germany,54.07,
1880,France,Spain,66.13,
1880,United States of America,Germany,44.54,
1880,Belgium,Germany,39.1,
1880,United Kingdom,Belgium,54.69,
1880,United Kingdom,China,57.47,
1880,Netherlands,Belgium,29.17,
1880,Switzerland,Germany,40.44,
1880,France,Russia,60.62,
1880,Austria-Hungary,Italy,32.09,
1880,United Kingdom,Spain,52,
